Date,Open,High,Low,Close,Adj Close,Volume
2023-07-01,1468.298218,1530.938721,1442.073364,1521.417847,1521.417847,10148455397
2023-07-02,1521.523926,1528.904175,1503.835938,1514.631470,1514.631470,4042664038
2023-07-03,1514.538818,1541.924316,1492.076904,1526.306274,1526.306274,4997751425
2023-07-04,1526.657104,1557.629517,1524.467041,1540.588501,1540.588501,6191467838
2023-07-05,1540.694824,1549.505737,1519.911865,1522.749756,1522.749756,4468802230
2023-07-06,1522.878174,1528.298096,1490.421143,1503.865845,1503.865845,4749563474
2023-07-07,1503.731323,1539.010010,1450.100830,1450.717529,1450.717529,6988205329
2023-07-08,1449.835449,1466.873047,1437.610474,1457.025513,1457.025513,5038659926
2023-07-09,1457.336670,1458.504639,1436.804443,1453.081909,1453.081909,3348527310
2023-07-10,1453.125000,1463.308472,1447.338257,1451.191528,1451.191528,3421821262
2023-07-11,1451.370972,1481.640625,1441.197632,1461.843018,1461.843018,4925628236
2023-07-12,1461.919556,1463.484863,1443.858398,1452.246826,1452.246826,3792504829
2023-07-13,1452.235962,1463.675171,1436.188110,1440.531616,1440.531616,4908441758
2023-07-14,1440.475098,1532.982178,1433.543945,1528.369873,1528.369873,8466239843
2023-07-15,1527.741089,1544.296387,1452.489746,1481.436157,1481.436157,8118138612
2023-07-16,1481.270142,1486.589355,1472.911499,1475.416382,1475.416382,3345876265
2023-07-17,1475.552734,1483.486328,1464.590210,1469.623657,1469.623657,3307434361
2023-07-18,1469.633179,1478.949219,1433.430054,1462.418823,1462.418823,5108772820
2023-07-19,1462.457764,1465.122803,1441.816895,1455.914063,1455.914063,4461276907
2023-07-20,1456.065918,1487.771484,1455.524292,1460.133301,1460.133301,4652068386
2023-07-21,1460.184082,1491.715576,1462.705933,1468.970947,1468.970947,5722811914
2023-07-22,1469.446533,1481.441528,1467.580566,1471.748901,1471.748901,3631112898
2023-07-23,1471.651611,1475.816895,1442.978394,1450.616455,1450.616455,3190188291
2023-07-24,1451.535767,1481.223389,1446.460083,1469.995117,1469.995117,3486393895
2023-07-25,1469.697754,1469.136841,1432.454712,1443.930298,1443.930298,4951796259
2023-07-26,1443.950562,1455.072388,1439.226929,1440.872070,1440.872070,3229135506
2023-07-27,1440.836914,1457.932861,1433.006592,1448.250488,1448.250488,4472443770
2023-07-28,1448.193604,1453.568604,1450.063721,1454.122192,1454.122192,3354265245
2023-07-29,1454.392090,1461.508545,1452.399780,1459.398926,1459.398926,2958875296
2023-07-30,1459.255371,1467.794067,1455.965210,1464.321777,1464.321777,1944029906
2023-07-31,1464.168213,1466.715820,1441.764648,1448.336548,1448.336548,3114290280
2023-08-01,1448.423218,1459.312866,1442.642090,1446.531494,1446.531494,3422441346
2023-08-02,1446.553101,1463.883423,1426.649658,1462.916016,1462.916016,5967094044
2023-08-03,1464.225830,1468.150146,1431.824585,1445.960327,1445.960327,5070059061
2023-08-04,1445.809570,1459.860352,1438.080200,1443.199097,1443.199097,3704523432
2023-08-05,1443.005615,1445.909912,1425.646606,1433.725708,1433.725708,3813338471
2023-08-06,1433.792847,1440.591064,1431.446899,1439.432373,1439.432373,2248235467
2023-08-07,1439.320435,1440.421509,1431.587036,1433.446655,1433.446655,2324463390
2023-08-08,1433.271973,1445.821899,1412.885620,1429.354858,1429.354858,4567424586
2023-08-09,1429.348755,1470.572876,1430.387817,1456.274292,1456.274292,4561417391
2023-08-10,1456.252441,1468.805176,1450.337158,1457.809814,1457.809814,4614935065
2023-08-11,1457.849731,1459.017090,1455.764282,1460.703491,1460.703491,2967812820
